Date,Close,High,Low,Open,Volume,SMA_30,SMA_50,EMA_30,EMA_50,MACD,Signal_Line,RSI
,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,,,,,,
2011-12-06,1258.469970703125,1266.030029296875,1253.030029296875,1257.18994140625,3734230000,1235.1050048828124,1214.5784033203124,1224.901281369564,1221.380112466533,4.572850263062264,-0.754754224497152,50.161505810146124
2011-12-07,1261.010009765625,1267.06005859375,1244.800048828125,1258.1400146484375,4160540000,1236.1703369140625,1216.2910034179688,1227.230876749955,1222.9342260861054,6.667048452948848,0.729606310992048,56.480584866654105
2011-12-08,1234.3499755859375,1260.8699951171875,1231.469970703125,1260.8699951171875,4298370000,1235.9153361002604,1217.9568017578124,1227.6901734490507,1223.3819025370792,6.105097887067814,1.8047046262072013,54.749240798580615
2011-12-09,1255.18994140625,1258.25,1234.47998046875,1234.47998046875,3830610000,1234.9353352864584,1219.8526000976562,1229.4643520269346,1224.62927661038,7.257696877960143,2.8953030765577896,59.31754936349981
2011-12-12,1236.469970703125,1255.050048828125,1227.25,1255.050048828125,3600570000,1233.3146687825522,1221.9535986328126,1229.9163274253985,1225.0936175551935,6.584690482792212,3.6331805578046743,60.44279049699323
2011-12-13,1225.72998046875,1249.8599853515625,1219.4300537109375,1236.8299560546875,4121570000,1232.3956665039063,1224.4835986328126,1229.6462405249697,1225.1185729635683,5.125615704544771,3.931667587152694,58.80483559303087
2011-12-14,1211.8199462890625,1225.72998046875,1209.469970703125,1225.72998046875,4298290000,1232.180330403646,1226.2409985351562,1228.496157025879,1224.5970581920192,2.8144220183128255,3.7082184733847203,62.4026853192902
2011-12-15,1215.75,1225.5999755859375,1212.1199951171875,1212.1199951171875,3810340000,1231.4419962565105,1227.6753979492187,1227.673824314532,1224.2501147335086,1.2850931069715443,3.2235934001020854,64.09382480578752
2011-12-16,1219.6600341796875,1231.0400390625,1215.199951171875,1216.0899658203125,5345800000,1230.0589965820313,1228.76919921875,1227.1568055961552,1224.0701115745353,0.3841675627679706,2.655708232635263,57.85660462796235
2011-12-19,1205.3499755859375,1224.5699462890625,1202.3699951171875,1219.739990234375,3659820000,1228.462996419271,1229.7669995117187,1225.7499133374315,1223.3359885945904,-1.467606897437463,1.8310452066207177,52.75788005966996
2011-12-20,1241.300048828125,1242.8199462890625,1205.719970703125,1205.719970703125,4055590000,1227.8023315429687,1230.6952001953125,1226.7531478852184,1224.0404615449252,-0.03389036805151591,1.458058091686271,48.319305190050535
2011-12-21,1243.719970703125,1245.0899658203125,1229.510009765625,1241.25,2959020000,1226.7289957682292,1231.658798828125,1227.847781615406,1224.8122070021095,1.282820228966557,1.4230105191423283,49.744690319686136
2011-12-22,1254.0,1255.219970703125,1243.719970703125,1243.719970703125,3492250000,1227.5589965820313,1232.593798828125,1229.5350215111862,1225.9568263353601,3.11987137875758,1.7623826910653788,52.72420479878258
2011-12-23,1265.3299560546875,1265.4200439453125,1254.0,1254.0,2233830000,1228.413330078125,1233.827197265625,1231.844372126896,1227.5008706380788,5.4274165360473035,2.4953894600617637,52.33142819294997
2011-12-27,1265.4300537109375,1269.3699951171875,1262.300048828125,1265.02001953125,2130590000,1228.4659993489583,1234.64419921875,1234.0111902936083,1228.9882895821124,7.181456383584191,3.4326028447662496,51.98134614916826
2011-12-28,1249.6400146484375,1265.8499755859375,1248.6400146484375,1265.3800048828125,2349980000,1228.3946655273437,1235.6197998046875,1235.019501542307,1229.798161153341,7.214259912895841,4.188934258392168,46.99031723761769
2011-12-29,1263.02001953125,1263.5400390625,1249.75,1249.75,2278130000,1228.5683308919272,1236.3726000976562,1236.8259865738517,1231.1009791289453,8.225097712405386,4.996166949194812,58.1629766182237
2011-12-30,1257.5999755859375,1264.1199951171875,1257.4599609375,1262.8199462890625,2271850000,1229.2579956054688,1237.3269995117187,1238.16624392947,1232.140155460592,8.490963164105551,5.695126192176961,50.75224094876166
2012-01-03,1277.06005859375,1284.6199951171875,1258.8599853515625,1258.8599853515625,3943710000,1231.2889973958333,1238.560400390625,1240.6755222949075,1233.9017202893433,10.154870488264578,6.587075051394485,62.61106753786195
2012-01-04,1277.300048828125,1278.72998046875,1268.0999755859375,1277.030029296875,3592580000,1233.3439982096354,1239.3414013671875,1243.03839497447,1235.6036155261584,11.361921083003153,7.542044257716219,67.14083773287263
2012-01-05,1281.06005859375,1283.050048828125,1265.260009765625,1277.300048828125,4315950000,1236.2800008138022,1239.8788037109375,1245.4914055305528,1237.3862211366522,12.478079210235592,8.529251248220094,74.67918345041713
2012-01-06,1277.81005859375,1281.8399658203125,1273.3399658203125,1280.9300537109375,3656830000,1239.272334798177,1240.85400390625,1247.5764799217268,1238.9714696643816,12.951102481312546,9.413621494838585,72.22776026008958
2012-01-09,1280.699951171875,1281.989990234375,1274.550048828125,1277.8299560546875,3371600000,1243.2359985351563,1241.6280029296875,1249.7134780668978,1240.6078807038912,13.404646589028744,10.211826513676618,72.0233182323878
2012-01-10,1292.0799560546875,1296.4599609375,1280.77001953125,1280.77001953125,4221960000,1247.6829956054687,1241.777802734375,1252.4467992274003,1242.626393462746,14.515034566192753,11.072468124179846,81.96825905335092
2012-01-11,1292.47998046875,1293.800048828125,1285.4100341796875,1292.02001953125,3968120000,1251.0139933268229,1241.9256030273436,1255.029585113939,1244.5814360904324,15.2514939367029,11.908273286684457,75.56437647862248
2012-01-12,1295.5,1296.8199462890625,1285.77001953125,1292.47998046875,4019890000,1254.3576619466146,1242.7696020507813,1257.6405796227173,1246.5782425182585,15.895599059262622,12.70573844120009,75.70999447229846
2012-01-13,1289.0899658203125,1294.8199462890625,1277.5799560546875,1294.8199462890625,3692370000,1255.7619954427084,1244.18580078125,1259.6695722806267,1248.2453689222607,15.707751638851505,13.306141080730374,68.11932937737083
2012-01-17,1293.6700439453125,1303.0,1290.219970703125,1290.219970703125,4010490000,1257.398331705729,1245.301201171875,1261.8631510977032,1250.0267287270863,15.746934374838702,13.79429973955204,65.73045432001062
2012-01-18,1308.0400390625,1308.1099853515625,1290.989990234375,1293.6500244140625,4096160000,1259.5236653645834,1246.2390014648438,1264.8423051599482,1252.3017605049456,16.744505252839645,14.38434084220956,70.41681630533073
2012-01-19,1314.5,1315.489990234375,1308.0699462890625,1308.0699462890625,4465890000,1261.4376668294271,1247.4644018554689,1268.0460274076936,1254.7409071518105,17.85058182460307,15.077589038688263,84.12959834533437
2012-01-20,1315.3800048828125,1315.3800048828125,1309.1700439453125,1314.489990234375,3912620000,1263.33466796875,1248.5496020507812,1271.0998324060884,1257.1189109843988,18.58394041906263,15.778859314763137,81.7255789528184
2012-01-23,1316.0,1322.280029296875,1309.8900146484375,1315.2900390625,3770910000,1265.1676676432292,1249.351201171875,1273.9966174121473,1259.427973298736,18.996184621573548,16.42232437612522,87.57073771405865
2012-01-24,1314.6500244140625,1315.9599609375,1306.06005859375,1315.9599609375,3693560000,1267.8443359375,1251.0622021484376,1276.6194178638839,1261.5935439307098,18.994996874559092,16.936858875811996,81.5299237188348
2012-01-25,1326.06005859375,1328.300048828125,1307.6500244140625,1314.4000244140625,4410910000,1270.2066731770833,1252.789404296875,1279.8091366206495,1264.1216425449466,19.687801259470916,17.48704735254378,84.44475104772089
2012-01-26,1318.4300537109375,1333.469970703125,1313.5999755859375,1326.280029296875,4522070000,1272.9386759440104,1253.881005859375,1282.3008086909908,1266.2513841592993,19.397572952046858,17.869152472444394,75.030129199896
2012-01-27,1316.3299560546875,1320.06005859375,1311.719970703125,1318.25,4007380000,1275.9586751302083,1255.1720043945313,1284.496237553165,1268.2152497238244,18.78160198132082,18.05164237421968,76.2039683580989
2012-01-30,1313.010009765625,1316.1600341796875,1300.489990234375,1316.1600341796875,3659010000,1279.3316772460937,1256.2760034179687,1286.3358357604207,1269.9719069803657,17.820129272008444,18.00533975377743,71.8517393285736
